StateUT,Population,AnnualExponentialGrowthRate,LiteracyRateFemale,SexRatioOverall,SexRatio(0-6Years),CBR,CDR,NaturalIncrease(CBR-CDR),IMR,Under5MortalityRate,MMR,TFR,MeanAgeAtEffectiveMarriage(Females),ContraceptiveUse(%)
Andhra Pradesh,84666,1.06,67.66,992,943,17.5,7.5,10,43,48,134,1.8,20.6,65.1
Assam ,31169,1.58,73.18,954,957,22.8,8,14.8,55,83,390,2.5,21.6,31.2
Bihar,103805,2.26,63.82,916,933,27.7,6.7,21,44,64,261,3.7,20.6,28.4
Chattisgarh,25540,2.06,71.04,991,964,24.9,7.9,17,48,61,275,2.8,21.5,47.1
Gujarat,60384,1.77,79.31,918,886,21.3,6.7,14.6,41,56,148,2.5,21,54.3
Haryana,25353,1.83,76.64,877,830,21.8,6.5,15.4,44,55,153,2.3,20.7,54.5
Jharkhand,32966,2.04,67.63,947,943,25,6.9,18.1,39,59,278,3,20.2,30.8
Karnataka,61131,1.47,75.6,968,943,18.8,7.1,11.7,35,45,178,2,21.1,60.8
Kerala ,33388,0.48,93.91,1084,959,15.2,7,8.2,12,15,81,1.8,22.6,53.1
Madhya Pradesh,72598,1.87,70.63,930,912,26.9,8.2,18.7,59,82,269,3.2,20.6,53.1
Maharashtra ,112373,1.49,82.91,925,883,16.7,6.3,10.3,25,33,104,1.9,20.6,62.6
Odisha,41947,1.32,73.45,978,934,20.1,8.5,11.6,57,78,258,2.3,21.1,37.8
Punjab,27704,1.3,76.68,893,846,16.2,6.8,9.4,30,43,172,1.8,22.1,62.9
Rajasthan ,68621,1.96,67.06,926,883,26.2,6.7,19.6,52,69,318,3.1,20.1,54
Tamil Nadu ,72139,1.46,80.33,995,946,15.9,7.4,8.5,22,27,97,1.7,22.3,57.8
Uttar Pradesh,199581,1.85,69.72,908,899,27.8,7.9,20,57,79,359,3.5,21,26.7
West Bengal,91348,1.31,77.08,947,950,16.3,6.2,10.1,32,37,145,1.8,20.3,53.3
Arunachal Pradesh,1383,2.33,66.95,920,960,19.8,5.8,14,32,NA,NA,2.7,NA,49
Delhi,16753,1.92,86.34,866,866,17.5,4.3,13.2,28,34,NA,1.9,22.7,55.5
Goa,1458,0.79,87.4,968,920,13.3,6.7,6.6,11,NA,NA,1.6,NA,35.9
Himachal Pradesh,6857,1.21,83.78,974,906,16.5,6.7,9.8,38,49,NA,1.8,22.2,68.1
Jammu & Kashmir ,12549,2.15,68.74,883,859,17.8,5.5,12.3,41,48,NA,2,23.7,41.2
Manipur,2722,1.72,79.85,987,934,14.4,4.1,10.3,11,NA,NA,1.5,NA,19.6
Meghalaya,2964,2.49,75.48,986,970,24.1,7.8,16.3,52,NA,NA,3.1,NA,16.8
Mizoram,1091,2.07,91.58,975,971,16.6,4.4,12.2,34,NA,NA,2,NA,53.5
Nagaland,1981,-0.05,80.11,931,944,16.1,3.3,12.8,21,NA,NA,2,NA,48.39
Sikkim,608,1.17,82.2,889,944,17.6,5.6,12,26,NA,NA,2.1,NA,61.1
Tripura,3671,1.39,87.75,961,953,14.3,5,9.4,29,NA,NA,1.7,NA,40.8
Uttarakhand,10117,1.77,79.63,963,886,18.9,6.2,12.8,36,NA,188,2.55,NA,57.7
A&N Islands,380,0.65,86.27,878,966,15.1,4.6,10.5,23,NA,NA,1.5,NA,66.2
Chandigarh,1055,1.59,86.43,818,867,15,4.1,11,20,NA,NA,1.8,NA,70.7
D&N Haveli,343,4.51,77.65,775,924,26.1,4.6,21.4,35,NA,NA,3.3,NA,49.9
Daman & Diu,243,4.38,87.07,618,909,18.4,4.9,13.5,22,NA,NA,1.9,NA,51.9
Lakshadweep,64,0.61,92.28,946,908,14.7,6.4,8.3,24,NA,NA,2.1,NA,16.6
Pondicherry,1244,2.48,86.55,1038,965,16.1,7.2,8.9,19,NA,NA,1.6,NA,57.5
